"";"ID";"Species";"Tree.age";"DBH";"H.tree";"Hcr";"Dcr";"Vtot";"Vbark";"Origin";"Pst";"Pbark";"Pbr";"Pf";"Pabo";"Proot";"Ptot";"Location";"Country";"Latitude";"Longitude";"Altitude..m.s.l..";"Tree.number...ha";"Reference";"Notes";"Ecoregion";"ID_Plot"
"1";1;"Pinus sylvestris L.";11;1,4;2,25;NA;NA;0,64;NA;"Natural";0,3;NA;0,16;0,23;0,69;0,19;0,88;"England: Brandon";"GBR";52,5;1,883;NA;58010;"Ovington, 1957";NA;80421;NA
"2";2;"Pinus sylvestris L.";14;3,1;4,32;NA;NA;1,9;NA;"Natural";0,89;NA;0,18;0,16;1,23;0,55;1,78;"England: Brandon";"GBR";52,5;1,883;NA;27750;"Ovington, 1957";NA;80421;NA
"3";3;"Pinus sylvestris L.";55;22;21;NA;NA;406;NA;"Natural";203;NA;17,05;6,1;226,2;NA;NA;"Winterthur, Adlisberg";"SWZ";47;9;NA;999;"Burger, 1948";NA;80501;NA
"4";4;"Pinus sylvestris L.";65;25;24,5;NA;NA;601;NA;"Natural";291;NA;17,2;6,4;314,6;NA;NA;"Winterthur, Adlisberg";"SWZ";47;9;NA;678;"Burger, 1948";NA;80501;NA
"5";5;"Pinus sylvestris L.";70;28;26;NA;NA;747;NA;"Natural";373;NA;19,57;5,5;398,1;NA;NA;"Winterthur, Adlisberg";"SWZ";47;9;NA;600;"Burger, 1948";NA;80501;NA
"6";6;"Pinus sylvestris L.";80;25;27;NA;NA;691;NA;"Natural";408;NA;9,53;2,9;420,4;NA;NA;"Winterthur, Adlisberg";"SWZ";47;9;NA;858;"Burger, 1948";NA;80501;NA
"7";7;"Pinus sylvestris L.";82;28;20;NA;NA;837;NA;"Natural";419;NA;39,45;11,7;470,2;NA;NA;"Winterthur, Adlisberg";"SWZ";47;9;NA;604;"Burger, 1948";NA;80501;NA
"8";8;"Pinus sylvestris L.";84;53,1;31;NA;NA;1160;NA;"Natural";545;NA;116;30,1;691,1;NA;NA;"Winterthur, Adlisberg";"SWZ";47;9;NA;492;"Burger, 1948";NA;80501;NA
"9";9;"Pinus sylvestris L.";86;27,5;29,5;NA;NA;800;NA;"Natural";424;NA;20,2;8;452,2;NA;NA;"Winterthur, Adlisberg";"SWZ";47;9;NA;750;"Burger, 1948";NA;80501;NA
"10";10;"Pinus sylvestris L.";100;33,5;32;NA;NA;1342;NA;"Natural";671;NA;26,4;8,7;706,1;NA;NA;"Winterthur, Adlisberg";"SWZ";47;9;NA;512;"Burger, 1948";NA;80501;NA
"11";11;"Pinus sylvestris L.";12;11,2;7,7;NA;NA;43;NA;"Planted";NA;NA;NA;NA;NA;5;NA;"Jelgava";"LAT";56,5;23,5;NA;2145;"Bardulis et al., 2012";NA;80436;NA
"12";12;"Pinus sylvestris L.";14;10,3;8,2;NA;NA;39,5;NA;"Planted";NA;NA;NA;NA;NA;7;NA;"Jelgava";"LAT";56,5;23,5;NA;2925;"Bardulis et al., 2012";NA;80436;NA
"13";13;"Pinus sylvestris L.";46;2;NA;NA;NA;NA;NA;"Natural";0,55;0,07;0,041;0,05;0,641;0,149;0,79;"Murmansk region; northern taiga";"RUS";67,65;31,083;NA;12489;"Kazimirov et al., 1977";NA;80608;7968
"14";14;"Pinus sylvestris L.";46;4;NA;NA;NA;NA;NA;"Natural";2,29;0,3;0,135;0,13;2,55;0,618;3,168;"Murmansk region; northern taiga";"RUS";67,65;31,083;NA;12489;"Kazimirov et al., 1977";NA;80608;7968
"15";15;"Pinus sylvestris L.";46;6;NA;NA;NA;NA;NA;"Natural";5,93;0,78;0,49;0,4;6,82;1,6;8,42;"Murmansk region; northern taiga";"RUS";67,65;31,083;NA;12489;"Kazimirov et al., 1977";NA;80608;7968
"16";16;"Pinus sylvestris L.";46;8;NA;NA;NA;NA;NA;"Natural";11,4;1,37;1,02;0,7;13,1;3,09;16,19;"Murmansk region; northern taiga";"RUS";67,65;31,083;NA;12489;"Kazimirov et al., 1977";NA;80608;7968
"17";17;"Pinus sylvestris L.";46;10;NA;NA;NA;NA;NA;"Natural";19,6;2,04;2,25;1,33;23,2;5,3;28,5;"Murmansk region; northern taiga";"RUS";67,65;31,083;NA;12489;"Kazimirov et al., 1977";NA;80608;7968
"18";18;"Pinus sylvestris L.";46;12;NA;NA;NA;NA;NA;"Natural";32;2,78;4,2;2,4;38,6;8,65;47,25;"Murmansk region; northern taiga";"RUS";67,65;31,083;NA;12489;"Kazimirov et al., 1977";NA;80608;7968
"19";19;"Pinus sylvestris L.";46;14;NA;NA;NA;NA;NA;"Natural";35,5;3,59;6,39;2,62;44,5;9,59;54,09;"Murmansk region; northern taiga";"RUS";67,65;31,083;NA;12489;"Kazimirov et al., 1977";NA;80608;7968
"20";20;"Pinus sylvestris L.";170;8;9,3;NA;NA;26;4;"Natural";11,3;1,2;1,4;0,9;13,6;2;15,6;"Middle Karelia";"RUS";65,217;33,167;NA;600;"Ivanchikov, 1971";NA;80608;NA
"21";21;"Pinus sylvestris L.";170;12;12,4;NA;NA;74;10;"Natural";33,2;3,1;4,1;1,9;39,2;7;46,2;"Middle Karelia";"RUS";65,217;33,167;NA;600;"Ivanchikov, 1971";NA;80608;NA
"22";22;"Pinus sylvestris L.";170;16;14,7;NA;NA;154;20;"Natural";69;6;7,9;3,3;80,2;14;94,2;"Middle Karelia";"RUS";65,217;33,167;NA;600;"Ivanchikov, 1971";NA;80608;NA
"23";23;"Pinus sylvestris L.";170;20;16,1;NA;NA;260;33;"Natural";117;10;13,1;4,6;134,7;24;158,7;"Middle Karelia";"RUS";65,217;33,167;NA;600;"Ivanchikov, 1971";NA;80608;NA
"24";24;"Pinus sylvestris L.";170;24;17,1;NA;NA;395;44;"Natural";178;13;19,9;6,2;204,1;26;230,1;"Middle Karelia";"RUS";65,217;33,167;NA;600;"Ivanchikov, 1971";NA;80608;NA
"25";25;"Pinus sylvestris L.";170;28;17,8;NA;NA;556;58;"Natural";252;18;33,1;7,9;293;52;345;"Middle Karelia";"RUS";65,217;33,167;NA;600;"Ivanchikov, 1971";NA;80608;NA
"26";26;"Pinus sylvestris L.";170;32;18,3;NA;NA;744;78;"Natural";336;23;40,5;9,4;385,9;69;454,9;"Middle Karelia";"RUS";65,217;33,167;NA;600;"Ivanchikov, 1971";NA;80608;NA
"27";27;"Pinus sylvestris L.";170;36;18,7;NA;NA;959;96;"Natural";435;29;58;11,1;504,1;89;593,1;"Middle Karelia";"RUS";65,217;33,167;NA;600;"Ivanchikov, 1971";NA;80608;NA
"28";28;"Pinus sylvestris L.";170;40;19,1;NA;NA;1207;109;"Natural";549;33;73,2;12,7;634,9;114;748,9;"Middle Karelia";"RUS";65,217;33,167;NA;600;"Ivanchikov, 1971";NA;80608;NA
"29";29;"Pinus sylvestris L.";170;44;19,4;NA;NA;1480;133;"Natural";673;40;98,1;14,5;785,6;139;924,6;"Middle Karelia";"RUS";65,217;33,167;NA;600;"Ivanchikov, 1971";NA;80608;NA
"30";30;"Pinus sylvestris L.";170;48;19,6;NA;NA;1777;160;"Natural";808;48;120,7;16,2;944,9;167;1111,9;"Middle Karelia";"RUS";65,217;33,167;NA;600;"Ivanchikov, 1971";NA;80608;NA
"31";31;"Pinus sylvestris L.";45;2;NA;NA;NA;NA;NA;"Natural";0,44;0,08;0,1;0,07;0,61;0,11;0,72;"Southern Karelia";"RUS";62,617;33,75;NA;3795;"Kazimirov et al., 1977";NA;80608;NA
"32";32;"Pinus sylvestris L.";45;4;NA;NA;NA;NA;NA;"Natural";2,01;0,3;0,25;0,19;2,45;0,52;2,97;"Southern Karelia";"RUS";62,617;33,75;NA;3795;"Kazimirov et al., 1977";NA;80608;NA
"33";33;"Pinus sylvestris L.";45;6;NA;NA;NA;NA;NA;"Natural";6,62;0,82;0,38;0,44;7,44;1,72;9,16;"Southern Karelia";"RUS";62,617;33,75;NA;3795;"Kazimirov et al., 1977";NA;80608;NA
"34";34;"Pinus sylvestris L.";45;8;NA;NA;NA;NA;NA;"Natural";15,1;1,87;0,81;0,73;16,6;3,92;20,52;"Southern Karelia";"RUS";62,617;33,75;NA;3795;"Kazimirov et al., 1977";NA;80608;NA
"35";35;"Pinus sylvestris L.";45;10;NA;NA;NA;NA;NA;"Natural";26,8;2,9;0,98;1,52;29,3;6,98;36,28;"Southern Karelia";"RUS";62,617;33,75;NA;3795;"Kazimirov et al., 1977";NA;80608;NA
"36";36;"Pinus sylvestris L.";45;12;NA;NA;NA;NA;NA;"Natural";42,1;4,55;2,35;2,71;47,2;10,9;58,1;"Southern Karelia";"RUS";62,617;33,75;NA;3795;"Kazimirov et al., 1977";NA;80608;NA
"37";37;"Pinus sylvestris L.";45;14;NA;NA;NA;NA;NA;"Natural";64,7;6,48;5,08;4,39;74,2;16,8;91;"Southern Karelia";"RUS";62,617;33,75;NA;3795;"Kazimirov et al., 1977";NA;80608;NA
"38";38;"Pinus sylvestris L.";45;16;NA;NA;NA;NA;NA;"Natural";87,3;8,74;7,99;6,27;101,6;22,7;124,3;"Southern Karelia";"RUS";62,617;33,75;NA;3795;"Kazimirov et al., 1977";NA;80608;NA
"39";39;"Pinus sylvestris L.";45;18;NA;NA;NA;NA;NA;"Natural";110,1;10,6;10,6;8,02;128,7;28,6;157,3;"Southern Karelia";"RUS";62,617;33,75;NA;3795;"Kazimirov et al., 1977";NA;80608;NA
"40";40;"Pinus sylvestris L.";45;20;NA;NA;NA;NA;NA;"Natural";131,1;12,8;13,2;12,3;156,6;34,1;190,7;"Southern Karelia";"RUS";62,617;33,75;NA;3795;"Kazimirov et al., 1977";NA;80608;NA
"41";41;"Pinus sylvestris L.";51;4;NA;NA;NA;5;NA;"Natural";2,3;0,3;0,4;0,3;3;0,6;3,6;"Southern Karelia";"RUS";62,217;34,167;NA;3484;"Kazimirov et al., 1977";NA;80608;7753
"42";42;"Pinus sylvestris L.";51;6;NA;NA;NA;12;NA;"Natural";5,7;0,7;0,9;0,7;7,3;1,4;8,7;"Southern Karelia, Konchezero";"RUS";62,217;34,167;NA;3484;"Kazimirov et al., 1977";NA;80608;7753
"43";43;"Pinus sylvestris L.";51;8;NA;NA;NA;25;NA;"Natural";12,4;1,4;1,7;1,2;15,3;2,9;18,2;"Southern Karelia, Konchezero";"RUS";62,217;34,167;NA;3484;"Kazimirov et al., 1977";NA;80608;7753
"44";44;"Pinus sylvestris L.";51;10;NA;NA;NA;42;NA;"Natural";20,1;2,1;2,9;1,9;24,9;4,9;29,8;"Southern Karelia, Konchezero";"RUS";62,217;34,167;NA;3484;"Kazimirov et al., 1977";NA;80608;7753
"45";45;"Pinus sylvestris L.";51;12;NA;NA;NA;63;NA;"Natural";30;3;4,7;2,8;37,5;7,2;44,7;"Southern Karelia, Konchezero";"RUS";62,217;34,167;NA;3484;"Kazimirov et al., 1977";NA;80608;7753
"46";46;"Pinus sylvestris L.";51;14;NA;NA;NA;90;NA;"Natural";43;4;7;3,9;53,9;10;63,9;"Southern Karelia, Konchezero";"RUS";62,217;34,167;NA;3484;"Kazimirov et al., 1977";NA;80608;7753
"47";47;"Pinus sylvestris L.";51;16;NA;NA;NA;123;NA;"Natural";58,3;5,3;10,1;5,2;73,6;14;87,6;"Southern Karelia, Konchezero";"RUS";62,217;34,167;NA;3484;"Kazimirov et al., 1977";NA;80608;7753
"48";48;"Pinus sylvestris L.";51;18;NA;NA;NA;160;NA;"Natural";76,6;6,6;13,9;6,7;97,2;18;115,2;"Southern Karelia, Konchezero";"RUS";62,217;34,167;NA;3484;"Kazimirov et al., 1977";NA;80608;7753
"49";49;"Pinus sylvestris L.";51;20;NA;NA;NA;204;NA;"Natural";97,1;8,1;18,5;8,4;124;23;147;"Southern Karelia, Konchezero";"RUS";62,217;34,167;NA;3484;"Kazimirov et al., 1977";NA;80608;7753
"50";50;"Pinus sylvestris L.";51;22;NA;NA;NA;251;NA;"Natural";120,6;9,6;23,8;10,2;154,6;28;182,6;"Southern Karelia, Konchezero";"RUS";62,217;34,167;NA;3484;"Kazimirov et al., 1977";NA;80608;7753
"51";51;"Pinus sylvestris L.";51;24;NA;NA;NA;304;NA;"Natural";145;11;29,9;12,1;187;34;221;"Southern Karelia, Konchezero";"RUS";62,217;34,167;NA;3484;"Kazimirov et al., 1977";NA;80608;7753
"52";52;"Pinus sylvestris L.";51;26;NA;NA;NA;358;NA;"Natural";172;13;36,7;14,1;222,8;40;262,8;"Southern Karelia, Konchezero";"RUS";62,217;34,167;NA;3484;"Kazimirov et al., 1977";NA;80608;7753
"53";53;"Pinus sylvestris L.";53;4;NA;NA;NA;5;NA;"Natural";2,03;0,3;0,4;0,3;2,73;0,6;3,33;"Southern Karelia, Konchezero";"RUS";62,217;34,167;NA;1632;"Kazimirov et al., 1977";NA;80608;7754
"54";54;"Pinus sylvestris L.";53;6;NA;NA;NA;13;NA;"Natural";5,8;0,8;0,8;0,6;7,2;1,5;8,7;"Southern Karelia, Konchezero";"RUS";62,217;34,167;NA;1632;"Kazimirov et al., 1977";NA;80608;7754
"55";55;"Pinus sylvestris L.";53;8;NA;NA;NA;26;NA;"Natural";12,4;1,4;1,6;1,1;15,1;3;18,1;"Southern Karelia, Konchezero";"RUS";62,217;34,167;NA;1632;"Kazimirov et al., 1977";NA;80608;7754
"56";56;"Pinus sylvestris L.";53;10;NA;NA;NA;44;NA;"Natural";21,2;2,2;2,6;1,7;25,5;5,1;30,6;"Southern Karelia, Konchezero";"RUS";62,217;34,167;NA;1632;"Kazimirov et al., 1977";NA;80608;7754
"57";57;"Pinus sylvestris L.";53;12;NA;NA;NA;66;NA;"Natural";31,1;3,1;4,3;2,6;38;7,5;45,5;"Southern Karelia, Konchezero";"RUS";62,217;34,167;NA;1632;"Kazimirov et al., 1977";NA;80608;7754
"58";58;"Pinus sylvestris L.";53;14;NA;NA;NA;94;NA;"Natural";45,2;4,2;6,5;3,6;55,3;11;66,3;"Southern Karelia, Konchezero";"RUS";62,217;34,167;NA;1632;"Kazimirov et al., 1977";NA;80608;7754
"59";59;"Pinus sylvestris L.";53;16;NA;NA;NA;128;NA;"Natural";61,5;5,5;9,3;4,8;75,6;15;90,6;"Southern Karelia, Konchezero";"RUS";62,217;34,167;NA;1632;"Kazimirov et al., 1977";NA;80608;7754
"60";60;"Pinus sylvestris L.";53;18;NA;NA;NA;168;NA;"Natural";80,9;6,9;12,8;6,2;99,9;19;118,9;"Southern Karelia, Konchezero";"RUS";62,217;34,167;NA;1632;"Kazimirov et al., 1977";NA;80608;7754
"61";61;"Pinus sylvestris L.";53;20;NA;NA;NA;213;NA;"Natural";102,4;8,4;17,2;7,8;127,4;24;151,4;"Southern Karelia, Konchezero";"RUS";62,217;34,167;NA;1632;"Kazimirov et al., 1977";NA;80608;7754
"62";62;"Pinus sylvestris L.";53;22;NA;NA;NA;262;NA;"Natural";126;10;22,4;9,6;158;29;187;"Southern Karelia, Konchezero";"RUS";62,217;34,167;NA;1632;"Kazimirov et al., 1977";NA;80608;7754
"63";63;"Pinus sylvestris L.";53;24;NA;NA;NA;316;NA;"Natural";152;12;28,4;11,5;191,9;35;226,9;"Southern Karelia, Konchezero";"RUS";62,217;34,167;NA;1632;"Kazimirov et al., 1977";NA;80608;7754
"64";64;"Pinus sylvestris L.";53;26;NA;NA;NA;378;NA;"Natural";182;14;35,1;13,5;230,6;41;271,6;"Southern Karelia, Konchezero";"RUS";62,217;34,167;NA;1632;"Kazimirov et al., 1977";NA;80608;7754
"65";65;"Pinus sylvestris L.";53;28;NA;NA;NA;442;NA;"Natural";213;16;42,6;15,6;271,2;48;319,2;"Southern Karelia, Konchezero";"RUS";62,217;34,167;NA;1632;"Kazimirov et al., 1977";NA;80608;7754
"66";66;"Pinus sylvestris L.";53;30;NA;NA;NA;509;NA;"Natural";246;18;50,3;17,7;314;55;369;"Southern Karelia, Konchezero";"RUS";62,217;34,167;NA;1632;"Kazimirov et al., 1977";NA;80608;7754
"67";67;"Pinus sylvestris L.";53;32;NA;NA;NA;584;NA;"Natural";281;20;58,3;19,9;359,2;62;421,2;"Southern Karelia, Konchezero";"RUS";62,217;34,167;NA;1632;"Kazimirov et al., 1977";NA;80608;7754
"68";68;"Pinus sylvestris L.";53;34;NA;NA;NA;659;NA;"Natural";317;22;66,1;22,1;405,2;70;475,2;"Southern Karelia, Konchezero";"RUS";62,217;34,167;NA;1632;"Kazimirov et al., 1977";NA;80608;7754
"69";69;"Pinus sylvestris L.";53;36;NA;NA;NA;738;NA;"Natural";355;24;73,7;24,4;453,1;78;531,1;"Southern Karelia, Konchezero";"RUS";62,217;34,167;NA;1632;"Kazimirov et al., 1977";NA;80608;7754
"70";70;"Pinus sylvestris L.";53;38;NA;NA;NA;822;NA;"Natural";395;26;81,5;26,8;503,3;87;590,3;"Southern Karelia, Konchezero";"RUS";62,217;34,167;NA;1632;"Kazimirov et al., 1977";NA;80608;7754
"71";71;"Pinus sylvestris L.";55;4;NA;NA;NA;5;NA;"Natural";2,03;0,3;0,3;0,2;2,5;0,7;3,2;"Southern Karelia, Konchezero";"RUS";62,217;34,167;NA;1482;"Kazimirov et al., 1977";NA;80608;7755
"72";72;"Pinus sylvestris L.";55;6;NA;NA;NA;14;NA;"Natural";6,8;0,8;0,7;0,5;8;1,6;9,6;"Southern Karelia, Konchezero";"RUS";62,217;34,167;NA;1482;"Kazimirov et al., 1977";NA;80608;7755
"73";73;"Pinus sylvestris L.";55;8;NA;NA;NA;27;NA;"Natural";12,5;1,5;1,3;0,9;14,7;3,2;17,9;"Southern Karelia, Konchezero";"RUS";62,217;34,167;NA;1482;"Kazimirov et al., 1977";NA;80608;7755
"74";74;"Pinus sylvestris L.";55;10;NA;NA;NA;47;NA;"Natural";22,4;2,4;2,3;1,5;26,2;5,4;31,6;"Southern Karelia, Konchezero";"RUS";62,217;34,167;NA;1482;"Kazimirov et al., 1977";NA;80608;7755
"75";75;"Pinus sylvestris L.";55;12;NA;NA;NA;70;NA;"Natural";33,3;3,3;3,8;2,3;39,4;8;47,4;"Southern Karelia, Konchezero";"RUS";62,217;34,167;NA;1482;"Kazimirov et al., 1977";NA;80608;7755
"76";76;"Pinus sylvestris L.";55;14;NA;NA;NA;102;NA;"Natural";48,6;4,6;5,9;3,3;57,8;12;69,8;"Southern Karelia, Konchezero";"RUS";62,217;34,167;NA;1482;"Kazimirov et al., 1977";NA;80608;7755
"77";77;"Pinus sylvestris L.";55;16;NA;NA;NA;139;NA;"Natural";66;6;8,5;4,4;78,9;16;94,9;"Southern Karelia, Konchezero";"RUS";62,217;34,167;NA;1482;"Kazimirov et al., 1977";NA;80608;7755
"78";78;"Pinus sylvestris L.";55;18;NA;NA;NA;181;NA;"Natural";86,4;7,4;11,8;5,7;103,9;21;124,9;"Southern Karelia, Konchezero";"RUS";62,217;34,167;NA;1482;"Kazimirov et al., 1977";NA;80608;7755
"79";79;"Pinus sylvestris L.";55;20;NA;NA;NA;230;NA;"Natural";110,1;9,1;15,9;7,2;133,2;26;159,2;"Southern Karelia, Konchezero";"RUS";62,217;34,167;NA;1482;"Kazimirov et al., 1977";NA;80608;7755
"80";80;"Pinus sylvestris L.";55;22;NA;NA;NA;285;NA;"Natural";137;11;20,8;8,9;166,7;32;198,7;"Southern Karelia, Konchezero";"RUS";62,217;34,167;NA;1482;"Kazimirov et al., 1977";NA;80608;7755
"81";81;"Pinus sylvestris L.";55;24;NA;NA;NA;343;NA;"Natural";165;13,1;26,4;10,7;202,1;38;240,1;"Southern Karelia, Konchezero";"RUS";62,217;34,167;NA;1482;"Kazimirov et al., 1977";NA;80608;7755
"82";82;"Pinus sylvestris L.";55;26;NA;NA;NA;409;NA;"Natural";196;15;32,8;12,6;241,4;45;286,4;"Southern Karelia, Konchezero";"RUS";62,217;34,167;NA;1482;"Kazimirov et al., 1977";NA;80608;7755
"83";83;"Pinus sylvestris L.";55;28;NA;NA;NA;478;NA;"Natural";230;17;39,9;14,6;284,5;52;336,5;"Southern Karelia, Konchezero";"RUS";62,217;34,167;NA;1482;"Kazimirov et al., 1977";NA;80608;7755
"84";84;"Pinus sylvestris L.";55;30;NA;NA;NA;553;NA;"Natural";266;19;47,5;16,7;330,2;60;390,2;"Southern Karelia, Konchezero";"RUS";62,217;34,167;NA;1482;"Kazimirov et al., 1977";NA;80608;7755
"85";85;"Pinus sylvestris L.";55;32;NA;NA;NA;632;NA;"Natural";304;21;55,4;18,9;378,3;67;445,3;"Southern Karelia, Konchezero";"RUS";62,217;34,167;NA;1482;"Kazimirov et al., 1977";NA;80608;7755
"86";86;"Pinus sylvestris L.";60;4;NA;NA;NA;6;NA;"Natural";2,4;0,4;0,3;0,2;2,9;0,7;3,6;"Southern Karelia, Konchezero";"RUS";62,217;34,167;NA;1068;"Kazimirov et al., 1977";NA;80608;1245
"87";87;"Pinus sylvestris L.";60;6;NA;NA;NA;15;NA;"Natural";6,9;0,9;0,5;0,4;7,8;1,7;9,5;"Southern Karelia, Konchezero";"RUS";62,217;34,167;NA;1068;"Kazimirov et al., 1977";NA;80608;1245
"88";88;"Pinus sylvestris L.";60;8;NA;NA;NA;29;NA;"Natural";13,6;1,6;1;0,7;15,3;3,4;18,7;"Southern Karelia, Konchezero";"RUS";62,217;34,167;NA;1068;"Kazimirov et al., 1977";NA;80608;1245
"89";89;"Pinus sylvestris L.";60;10;NA;NA;NA;49;NA;"Natural";23,5;2,5;1,8;1,2;26,5;5,7;32,2;"Southern Karelia, Konchezero";"RUS";62,217;34,167;NA;1068;"Kazimirov et al., 1977";NA;80608;1245
"90";90;"Pinus sylvestris L.";60;12;NA;NA;NA;76;NA;"Natural";36,5;3,5;3,2;1,9;41,6;8,8;50,4;"Southern Karelia, Konchezero";"RUS";62,217;34,167;NA;1068;"Kazimirov et al., 1977";NA;80608;1245
"91";91;"Pinus sylvestris L.";60;14;NA;NA;NA;109;NA;"Natural";51,9;4,9;5;2,8;59,7;13;72,7;"Southern Karelia, Konchezero";"RUS";62,217;34,167;NA;1068;"Kazimirov et al., 1977";NA;80608;1245
"92";92;"Pinus sylvestris L.";60;16;NA;NA;NA;149;NA;"Natural";71,4;6,4;7,4;3,8;82,6;17;99,6;"Southern Karelia, Konchezero";"RUS";62,217;34,167;NA;1068;"Kazimirov et al., 1977";NA;80608;1245
"93";93;"Pinus sylvestris L.";60;18;NA;NA;NA;194;NA;"Natural";93;8;10,4;5;108,4;22;130,4;"Southern Karelia, Konchezero";"RUS";62,217;34,167;NA;1068;"Kazimirov et al., 1977";NA;80608;1245
"94";94;"Pinus sylvestris L.";60;20;NA;NA;NA;246;NA;"Natural";117,7;9,7;14,1;6,4;138,2;28;166,2;"Southern Karelia, Konchezero";"RUS";62,217;34,167;NA;1068;"Kazimirov et al., 1977";NA;80608;1245
"95";95;"Pinus sylvestris L.";60;22;NA;NA;NA;304;NA;"Natural";146;12;18,7;8;172,7;34;206,7;"Southern Karelia, Konchezero";"RUS";62,217;34,167;NA;1068;"Kazimirov et al., 1977";NA;80608;1245
"96";96;"Pinus sylvestris L.";60;24;NA;NA;NA;367;NA;"Natural";176;14;23,7;9,6;209,3;41;250,3;"Southern Karelia, Konchezero";"RUS";62,217;34,167;NA;1068;"Kazimirov et al., 1977";NA;80608;1245
"97";97;"Pinus sylvestris L.";60;26;NA;NA;NA;435;NA;"Natural";209;16;29,6;11,4;250;46;296;"Southern Karelia, Konchezero";"RUS";62,217;34,167;NA;1068;"Kazimirov et al., 1977";NA;80608;1245
"98";98;"Pinus sylvestris L.";60;28;NA;NA;NA;509;NA;"Natural";244;18;36,3;13,3;293,6;55;348,6;"Southern Karelia, Konchezero";"RUS";62,217;34,167;NA;1068;"Kazimirov et al., 1977";NA;80608;1245
"99";99;"Pinus sylvestris L.";60;30;NA;NA;NA;589;NA;"Natural";283;20;43,5;15,3;341,8;64;405,8;"Southern Karelia, Konchezero";"RUS";62,217;34,167;NA;1068;"Kazimirov et al., 1977";NA;80608;1245
"100";100;"Pinus sylvestris L.";60;32;NA;NA;NA;671;NA;"Natural";323;23;51,1;17,4;391,5;72;463,5;"Southern Karelia, Konchezero";"RUS";62,217;34,167;NA;1068;"Kazimirov et al., 1977";NA;80608;1245
"101";101;"Pinus sylvestris L.";60;34;NA;NA;NA;760;NA;"Natural";364;25;58,7;19,6;442,3;81;523,3;"Southern Karelia, Konchezero";"RUS";62,217;34,167;NA;1068;"Kazimirov et al., 1977";NA;80608;1245
"102";102;"Pinus sylvestris L.";60;36;NA;NA;NA;856;NA;"Natural";412;28;66,2;21,9;500,1;91;591,1;"Southern Karelia, Konchezero";"RUS";62,217;34,167;NA;1068;"Kazimirov et al., 1977";NA;80608;1245
"103";103;"Pinus sylvestris L.";60;38;NA;NA;NA;952;NA;"Natural";459;31;74;24,3;557,3;101;658,3;"Southern Karelia, Konchezero";"RUS";62,217;34,167;NA;1068;"Kazimirov et al., 1977";NA;80608;1245
"104";104;"Pinus sylvestris L.";60;40;NA;NA;NA;1060;NA;"Natural";515;34;81,8;26,8;623,6;111;734,6;"Southern Karelia, Konchezero";"RUS";62,217;34,167;NA;1068;"Kazimirov et al., 1977";NA;80608;1245
"105";105;"Pinus sylvestris L.";62;4;NA;NA;NA;6;NA;"Natural";2,4;0,4;0,3;0,2;2,9;0,7;3,6;"Southern Karelia, Konchezero";"RUS";62,217;34,167;NA;1628;"Kazimirov et al., 1977";NA;80608;1246
"106";106;"Pinus sylvestris L.";62;6;NA;NA;NA;14;NA;"Natural";6,8;0,8;0,5;0,4;7,7;1,6;9,3;"Southern Karelia, Konchezero";"RUS";62,217;34,167;NA;1628;"Kazimirov et al., 1977";NA;80608;1246
"107";107;"Pinus sylvestris L.";62;8;NA;NA;NA;28;NA;"Natural";13,5;1,5;1;0,7;15,2;3,2;18,4;"Southern Karelia, Konchezero";"RUS";62,217;34,167;NA;1628;"Kazimirov et al., 1977";NA;80608;1246
"108";108;"Pinus sylvestris L.";62;10;NA;NA;NA;48;NA;"Natural";22,4;2,4;1,8;1,2;25,4;5,5;30,9;"Southern Karelia, Konchezero";"RUS";62,217;34,167;NA;1628;"Kazimirov et al., 1977";NA;80608;1246
"109";109;"Pinus sylvestris L.";62;12;NA;NA;NA;73;NA;"Natural";34,5;3,5;3,3;2;39,8;8,3;48,1;"Southern Karelia, Konchezero";"RUS";62,217;34,167;NA;1628;"Kazimirov et al., 1977";NA;80608;1246
"110";110;"Pinus sylvestris L.";62;14;NA;NA;NA;107;NA;"Natural";50,8;4,8;5,2;2,9;58,9;12;70,9;"Southern Karelia, Konchezero";"RUS";62,217;34,167;NA;1628;"Kazimirov et al., 1977";NA;80608;1246
"111";111;"Pinus sylvestris L.";62;16;NA;NA;NA;145;NA;"Natural";69,2;6,2;7,6;3,9;80,7;16;96,7;"Southern Karelia, Konchezero";"RUS";62,217;34,167;NA;1628;"Kazimirov et al., 1977";NA;80608;1246
"112";112;"Pinus sylvestris L.";62;18;NA;NA;NA;189;NA;"Natural";90,8;7,8;10,6;5,1;106,5;21;127,5;"Southern Karelia, Konchezero";"RUS";62,217;34,167;NA;1628;"Kazimirov et al., 1977";NA;80608;1246
"113";113;"Pinus sylvestris L.";62;20;NA;NA;NA;240;NA;"Natural";114,5;9,5;14,3;6,5;135,3;27;162,3;"Southern Karelia, Konchezero";"RUS";62,217;34,167;NA;1628;"Kazimirov et al., 1977";NA;80608;1246
"114";114;"Pinus sylvestris L.";62;22;NA;NA;NA;296;NA;"Natural";141;11;19;8,1;168,1;33;201,1;"Southern Karelia, Konchezero";"RUS";62,217;34,167;NA;1628;"Kazimirov et al., 1977";NA;80608;1246
