ID;Species;Tree age;DBH;H tree;Hcr;Dcr;Vtot;Vbark;Origin;Pst;Pbark;Pbr;Pf;Pabo;Proot;Ptot;Location;Country;Latitude;Longitude;Altitude (m.s.l.);Tree number / ha;Reference;Notes;Ecoregion;ID_Plot
1;Pinus sylvestris L.;11;1,4;2,25;;;0,64;;Natural;0,3;;0,16;0,23;0,69;0,19;0,88;England: Brandon;GBR;52,50;1,88;;58010;Ovington, 1957;;80421;
2;Pinus sylvestris L.;14;3,1;4,32;;;1,9;;Natural;0,89;;0,18;0,16;1,23;0,55;1,78;England: Brandon;GBR;52,50;1,88;;27750;Ovington, 1957;;80421;
3;Pinus sylvestris L.;55;22;21;;;406;;Natural;203;;17,05;6,1;226,2;;;Winterthur, Adlisberg;SWZ;47,00;9,00;;999;Burger, 1948;;80501;
4;Pinus sylvestris L.;65;25;24,5;;;601;;Natural;291;;17,2;6,4;314,6;;;Winterthur, Adlisberg;SWZ;47,00;9,00;;678;Burger, 1948;;80501;
5;Pinus sylvestris L.;70;28;26;;;747;;Natural;373;;19,57;5,5;398,1;;;Winterthur, Adlisberg;SWZ;47,00;9,00;;600;Burger, 1948;;80501;
6;Pinus sylvestris L.;80;25;27;;;691;;Natural;408;;9,53;2,9;420,4;;;Winterthur, Adlisberg;SWZ;47,00;9,00;;858;Burger, 1948;;80501;
7;Pinus sylvestris L.;82;28;20;;;837;;Natural;419;;39,45;11,7;470,2;;;Winterthur, Adlisberg;SWZ;47,00;9,00;;604;Burger, 1948;;80501;
8;Pinus sylvestris L.;84;53,1;31;;;1160;;Natural;545;;116;30,1;691,1;;;Winterthur, Adlisberg;SWZ;47,00;9,00;;492;Burger, 1948;;80501;
9;Pinus sylvestris L.;86;27,5;29,5;;;800;;Natural;424;;20,2;8;452,2;;;Winterthur, Adlisberg;SWZ;47,00;9,00;;750;Burger, 1948;;80501;
10;Pinus sylvestris L.;100;33,5;32;;;1342;;Natural;671;;26,4;8,7;706,1;;;Winterthur, Adlisberg;SWZ;47,00;9,00;;512;Burger, 1948;;80501;
11;Pinus sylvestris L.;12;11,2;7,7;;;43;;Planted;;;;;;5;;Jelgava;LAT;56,50;23,50;;2145;Bārdulis et al., 2012;;80436;
12;Pinus sylvestris L.;14;10,3;8,2;;;39,5;;Planted;;;;;;7;;Jelgava;LAT;56,50;23,50;;2925;Bārdulis et al., 2012;;80436;
13;Pinus sylvestris L.;46;2;;;;;;Natural;0,55;0,07;0,041;0,05;0,641;0,149;0,79;"Murmansk region; northern taiga";RUS;67,65;31,08;;12489;Kazimirov et al., 1977;;80608;7968
14;Pinus sylvestris L.;46;4;;;;;;Natural;2,29;0,3;0,135;0,13;2,55;0,618;3,168;"Murmansk region; northern taiga";RUS;67,65;31,08;;12489;Kazimirov et al., 1977;;80608;7968
15;Pinus sylvestris L.;46;6;;;;;;Natural;5,93;0,78;0,49;0,4;6,82;1,6;8,42;"Murmansk region; northern taiga";RUS;67,65;31,08;;12489;Kazimirov et al., 1977;;80608;7968
16;Pinus sylvestris L.;46;8;;;;;;Natural;11,4;1,37;1,02;0,7;13,1;3,09;16,19;"Murmansk region; northern taiga";RUS;67,65;31,08;;12489;Kazimirov et al., 1977;;80608;7968
17;Pinus sylvestris L.;46;10;;;;;;Natural;19,6;2,04;2,25;1,33;23,2;5,3;28,5;"Murmansk region; northern taiga";RUS;67,65;31,08;;12489;Kazimirov et al., 1977;;80608;7968
18;Pinus sylvestris L.;46;12;;;;;;Natural;32;2,78;4,2;2,4;38,6;8,65;47,25;"Murmansk region; northern taiga";RUS;67,65;31,08;;12489;Kazimirov et al., 1977;;80608;7968
19;Pinus sylvestris L.;46;14;;;;;;Natural;35,5;3,59;6,39;2,62;44,5;9,59;54,09;"Murmansk region; northern taiga";RUS;67,65;31,08;;12489;Kazimirov et al., 1977;;80608;7968
20;Pinus sylvestris L.;170;8;9,3;;;26;4;Natural;11,3;1,2;1,4;0,9;13,6;2;15,6;Middle Karelia;RUS;65,22;33,17;;600;Ivanchikov, 1971;;80608;
21;Pinus sylvestris L.;170;12;12,4;;;74;10;Natural;33,2;3,1;4,1;1,9;39,2;7;46,2;Middle Karelia;RUS;65,22;33,17;;600;Ivanchikov, 1971;;80608;
22;Pinus sylvestris L.;170;16;14,7;;;154;20;Natural;69;6;7,9;3,3;80,2;14;94,2;Middle Karelia;RUS;65,22;33,17;;600;Ivanchikov, 1971;;80608;
23;Pinus sylvestris L.;170;20;16,1;;;260;33;Natural;117;10;13,1;4,6;134,7;24;158,7;Middle Karelia;RUS;65,22;33,17;;600;Ivanchikov, 1971;;80608;
24;Pinus sylvestris L.;170;24;17,1;;;395;44;Natural;178;13;19,9;6,2;204,1;26;230,1;Middle Karelia;RUS;65,22;33,17;;600;Ivanchikov, 1971;;80608;
25;Pinus sylvestris L.;170;28;17,8;;;556;58;Natural;252;18;33,1;7,9;293;52;345;Middle Karelia;RUS;65,22;33,17;;600;Ivanchikov, 1971;;80608;
26;Pinus sylvestris L.;170;32;18,3;;;744;78;Natural;336;23;40,5;9,4;385,9;69;454,9;Middle Karelia;RUS;65,22;33,17;;600;Ivanchikov, 1971;;80608;
27;Pinus sylvestris L.;170;36;18,7;;;959;96;Natural;435;29;58;11,1;504,1;89;593,1;Middle Karelia;RUS;65,22;33,17;;600;Ivanchikov, 1971;;80608;
28;Pinus sylvestris L.;170;40;19,1;;;1207;109;Natural;549;33;73,2;12,7;634,9;114;748,9;Middle Karelia;RUS;65,22;33,17;;600;Ivanchikov, 1971;;80608;
29;Pinus sylvestris L.;170;44;19,4;;;1480;133;Natural;673;40;98,1;14,5;785,6;139;924,6;Middle Karelia;RUS;65,22;33,17;;600;Ivanchikov, 1971;;80608;
30;Pinus sylvestris L.;170;48;19,6;;;1777;160;Natural;808;48;120,7;16,2;944,9;167;1111,9;Middle Karelia;RUS;65,22;33,17;;600;Ivanchikov, 1971;;80608;
31;Pinus sylvestris L.;45;2;;;;;;Natural;0,44;0,08;0,1;0,07;0,61;0,11;0,72;Southern Karelia;RUS;62,62;33,75;;3795;Kazimirov et al., 1977;;80608;
32;Pinus sylvestris L.;45;4;;;;;;Natural;2,01;0,3;0,25;0,19;2,45;0,52;2,97;Southern Karelia;RUS;62,62;33,75;;3795;Kazimirov et al., 1977;;80608;
33;Pinus sylvestris L.;45;6;;;;;;Natural;6,62;0,82;0,38;0,44;7,44;1,72;9,16;Southern Karelia;RUS;62,62;33,75;;3795;Kazimirov et al., 1977;;80608;
34;Pinus sylvestris L.;45;8;;;;;;Natural;15,1;1,87;0,81;0,73;16,6;3,92;20,52;Southern Karelia;RUS;62,62;33,75;;3795;Kazimirov et al., 1977;;80608;
35;Pinus sylvestris L.;45;10;;;;;;Natural;26,8;2,9;0,98;1,52;29,3;6,98;36,28;Southern Karelia;RUS;62,62;33,75;;3795;Kazimirov et al., 1977;;80608;
36;Pinus sylvestris L.;45;12;;;;;;Natural;42,1;4,55;2,35;2,71;47,2;10,9;58,1;Southern Karelia;RUS;62,62;33,75;;3795;Kazimirov et al., 1977;;80608;
37;Pinus sylvestris L.;45;14;;;;;;Natural;64,7;6,48;5,08;4,39;74,2;16,8;91;Southern Karelia;RUS;62,62;33,75;;3795;Kazimirov et al., 1977;;80608;
38;Pinus sylvestris L.;45;16;;;;;;Natural;87,3;8,74;7,99;6,27;101,6;22,7;124,3;Southern Karelia;RUS;62,62;33,75;;3795;Kazimirov et al., 1977;;80608;
39;Pinus sylvestris L.;45;18;;;;;;Natural;110,1;10,6;10,6;8,02;128,7;28,6;157,3;Southern Karelia;RUS;62,62;33,75;;3795;Kazimirov et al., 1977;;80608;
40;Pinus sylvestris L.;45;20;;;;;;Natural;131,1;12,8;13,2;12,3;156,6;34,1;190,7;Southern Karelia;RUS;62,62;33,75;;3795;Kazimirov et al., 1977;;80608;
41;Pinus sylvestris L.;51;4;;;;5;;Natural;2,3;0,3;0,4;0,3;3;0,6;3,6;Southern Karelia;RUS;62,22;34,17;;3484;Kazimirov et al., 1977;;80608;7753
42;Pinus sylvestris L.;51;6;;;;12;;Natural;5,7;0,7;0,9;0,7;7,3;1,4;8,7;Southern Karelia, Konchezero;RUS;62,22;34,17;;3484;Kazimirov et al., 1977;;80608;7753
43;Pinus sylvestris L.;51;8;;;;25;;Natural;12,4;1,4;1,7;1,2;15,3;2,9;18,2;Southern Karelia, Konchezero;RUS;62,22;34,17;;3484;Kazimirov et al., 1977;;80608;7753
44;Pinus sylvestris L.;51;10;;;;42;;Natural;20,1;2,1;2,9;1,9;24,9;4,9;29,8;Southern Karelia, Konchezero;RUS;62,22;34,17;;3484;Kazimirov et al., 1977;;80608;7753
45;Pinus sylvestris L.;51;12;;;;63;;Natural;30;3;4,7;2,8;37,5;7,2;44,7;Southern Karelia, Konchezero;RUS;62,22;34,17;;3484;Kazimirov et al., 1977;;80608;7753
46;Pinus sylvestris L.;51;14;;;;90;;Natural;43;4;7;3,9;53,9;10;63,9;Southern Karelia, Konchezero;RUS;62,22;34,17;;3484;Kazimirov et al., 1977;;80608;7753
47;Pinus sylvestris L.;51;16;;;;123;;Natural;58,3;5,3;10,1;5,2;73,6;14;87,6;Southern Karelia, Konchezero;RUS;62,22;34,17;;3484;Kazimirov et al., 1977;;80608;7753
48;Pinus sylvestris L.;51;18;;;;160;;Natural;76,6;6,6;13,9;6,7;97,2;18;115,2;Southern Karelia, Konchezero;RUS;62,22;34,17;;3484;Kazimirov et al., 1977;;80608;7753
49;Pinus sylvestris L.;51;20;;;;204;;Natural;97,1;8,1;18,5;8,4;124;23;147;Southern Karelia, Konchezero;RUS;62,22;34,17;;3484;Kazimirov et al., 1977;;80608;7753
50;Pinus sylvestris L.;51;22;;;;251;;Natural;120,6;9,6;23,8;10,2;154,6;28;182,6;Southern Karelia, Konchezero;RUS;62,22;34,17;;3484;Kazimirov et al., 1977;;80608;7753
51;Pinus sylvestris L.;51;24;;;;304;;Natural;145;11;29,9;12,1;187;34;221;Southern Karelia, Konchezero;RUS;62,22;34,17;;3484;Kazimirov et al., 1977;;80608;7753
52;Pinus sylvestris L.;51;26;;;;358;;Natural;172;13;36,7;14,1;222,8;40;262,8;Southern Karelia, Konchezero;RUS;62,22;34,17;;3484;Kazimirov et al., 1977;;80608;7753
53;Pinus sylvestris L.;53;4;;;;5;;Natural;2,03;0,3;0,4;0,3;2,73;0,6;3,33;Southern Karelia, Konchezero;RUS;62,22;34,17;;1632;Kazimirov et al., 1977;;80608;7754
54;Pinus sylvestris L.;53;6;;;;13;;Natural;5,8;0,8;0,8;0,6;7,2;1,5;8,7;Southern Karelia, Konchezero;RUS;62,22;34,17;;1632;Kazimirov et al., 1977;;80608;7754
55;Pinus sylvestris L.;53;8;;;;26;;Natural;12,4;1,4;1,6;1,1;15,1;3;18,1;Southern Karelia, Konchezero;RUS;62,22;34,17;;1632;Kazimirov et al., 1977;;80608;7754
56;Pinus sylvestris L.;53;10;;;;44;;Natural;21,2;2,2;2,6;1,7;25,5;5,1;30,6;Southern Karelia, Konchezero;RUS;62,22;34,17;;1632;Kazimirov et al., 1977;;80608;7754
57;Pinus sylvestris L.;53;12;;;;66;;Natural;31,1;3,1;4,3;2,6;38;7,5;45,5;Southern Karelia, Konchezero;RUS;62,22;34,17;;1632;Kazimirov et al., 1977;;80608;7754
58;Pinus sylvestris L.;53;14;;;;94;;Natural;45,2;4,2;6,5;3,6;55,3;11;66,3;Southern Karelia, Konchezero;RUS;62,22;34,17;;1632;Kazimirov et al., 1977;;80608;7754
59;Pinus sylvestris L.;53;16;;;;128;;Natural;61,5;5,5;9,3;4,8;75,6;15;90,6;Southern Karelia, Konchezero;RUS;62,22;34,17;;1632;Kazimirov et al., 1977;;80608;7754
60;Pinus sylvestris L.;53;18;;;;168;;Natural;80,9;6,9;12,8;6,2;99,9;19;118,9;Southern Karelia, Konchezero;RUS;62,22;34,17;;1632;Kazimirov et al., 1977;;80608;7754
61;Pinus sylvestris L.;53;20;;;;213;;Natural;102,4;8,4;17,2;7,8;127,4;24;151,4;Southern Karelia, Konchezero;RUS;62,22;34,17;;1632;Kazimirov et al., 1977;;80608;7754
62;Pinus sylvestris L.;53;22;;;;262;;Natural;126;10;22,4;9,6;158;29;187;Southern Karelia, Konchezero;RUS;62,22;34,17;;1632;Kazimirov et al., 1977;;80608;7754
63;Pinus sylvestris L.;53;24;;;;316;;Natural;152;12;28,4;11,5;191,9;35;226,9;Southern Karelia, Konchezero;RUS;62,22;34,17;;1632;Kazimirov et al., 1977;;80608;7754
64;Pinus sylvestris L.;53;26;;;;378;;Natural;182;14;35,1;13,5;230,6;41;271,6;Southern Karelia, Konchezero;RUS;62,22;34,17;;1632;Kazimirov et al., 1977;;80608;7754
65;Pinus sylvestris L.;53;28;;;;442;;Natural;213;16;42,6;15,6;271,2;48;319,2;Southern Karelia, Konchezero;RUS;62,22;34,17;;1632;Kazimirov et al., 1977;;80608;7754
66;Pinus sylvestris L.;53;30;;;;509;;Natural;246;18;50,3;17,7;314;55;369;Southern Karelia, Konchezero;RUS;62,22;34,17;;1632;Kazimirov et al., 1977;;80608;7754
67;Pinus sylvestris L.;53;32;;;;584;;Natural;281;20;58,3;19,9;359,2;62;421,2;Southern Karelia, Konchezero;RUS;62,22;34,17;;1632;Kazimirov et al., 1977;;80608;7754
68;Pinus sylvestris L.;53;34;;;;659;;Natural;317;22;66,1;22,1;405,2;70;475,2;Southern Karelia, Konchezero;RUS;62,22;34,17;;1632;Kazimirov et al., 1977;;80608;7754
69;Pinus sylvestris L.;53;36;;;;738;;Natural;355;24;73,7;24,4;453,1;78;531,1;Southern Karelia, Konchezero;RUS;62,22;34,17;;1632;Kazimirov et al., 1977;;80608;7754
70;Pinus sylvestris L.;53;38;;;;822;;Natural;395;26;81,5;26,8;503,3;87;590,3;Southern Karelia, Konchezero;RUS;62,22;34,17;;1632;Kazimirov et al., 1977;;80608;7754
71;Pinus sylvestris L.;55;4;;;;5;;Natural;2,03;0,3;0,3;0,2;2,5;0,7;3,2;Southern Karelia, Konchezero;RUS;62,22;34,17;;1482;Kazimirov et al., 1977;;80608;7755
72;Pinus sylvestris L.;55;6;;;;14;;Natural;6,8;0,8;0,7;0,5;8;1,6;9,6;Southern Karelia, Konchezero;RUS;62,22;34,17;;1482;Kazimirov et al., 1977;;80608;7755
73;Pinus sylvestris L.;55;8;;;;27;;Natural;12,5;1,5;1,3;0,9;14,7;3,2;17,9;Southern Karelia, Konchezero;RUS;62,22;34,17;;1482;Kazimirov et al., 1977;;80608;7755
74;Pinus sylvestris L.;55;10;;;;47;;Natural;22,4;2,4;2,3;1,5;26,2;5,4;31,6;Southern Karelia, Konchezero;RUS;62,22;34,17;;1482;Kazimirov et al., 1977;;80608;7755
75;Pinus sylvestris L.;55;12;;;;70;;Natural;33,3;3,3;3,8;2,3;39,4;8;47,4;Southern Karelia, Konchezero;RUS;62,22;34,17;;1482;Kazimirov et al., 1977;;80608;7755
76;Pinus sylvestris L.;55;14;;;;102;;Natural;48,6;4,6;5,9;3,3;57,8;12;69,8;Southern Karelia, Konchezero;RUS;62,22;34,17;;1482;Kazimirov et al., 1977;;80608;7755
77;Pinus sylvestris L.;55;16;;;;139;;Natural;66;6;8,5;4,4;78,9;16;94,9;Southern Karelia, Konchezero;RUS;62,22;34,17;;1482;Kazimirov et al., 1977;;80608;7755
78;Pinus sylvestris L.;55;18;;;;181;;Natural;86,4;7,4;11,8;5,7;103,9;21;124,9;Southern Karelia, Konchezero;RUS;62,22;34,17;;1482;Kazimirov et al., 1977;;80608;7755
79;Pinus sylvestris L.;55;20;;;;230;;Natural;110,1;9,1;15,9;7,2;133,2;26;159,2;Southern Karelia, Konchezero;RUS;62,22;34,17;;1482;Kazimirov et al., 1977;;80608;7755
80;Pinus sylvestris L.;55;22;;;;285;;Natural;137;11;20,8;8,9;166,7;32;198,7;Southern Karelia, Konchezero;RUS;62,22;34,17;;1482;Kazimirov et al., 1977;;80608;7755
81;Pinus sylvestris L.;55;24;;;;343;;Natural;165;13,1;26,4;10,7;202,1;38;240,1;Southern Karelia, Konchezero;RUS;62,22;34,17;;1482;Kazimirov et al., 1977;;80608;7755
82;Pinus sylvestris L.;55;26;;;;409;;Natural;196;15;32,8;12,6;241,4;45;286,4;Southern Karelia, Konchezero;RUS;62,22;34,17;;1482;Kazimirov et al., 1977;;80608;7755
83;Pinus sylvestris L.;55;28;;;;478;;Natural;230;17;39,9;14,6;284,5;52;336,5;Southern Karelia, Konchezero;RUS;62,22;34,17;;1482;Kazimirov et al., 1977;;80608;7755
84;Pinus sylvestris L.;55;30;;;;553;;Natural;266;19;47,5;16,7;330,2;60;390,2;Southern Karelia, Konchezero;RUS;62,22;34,17;;1482;Kazimirov et al., 1977;;80608;7755
85;Pinus sylvestris L.;55;32;;;;632;;Natural;304;21;55,4;18,9;378,3;67;445,3;Southern Karelia, Konchezero;RUS;62,22;34,17;;1482;Kazimirov et al., 1977;;80608;7755
86;Pinus sylvestris L.;60;4;;;;6;;Natural;2,4;0,4;0,3;0,2;2,9;0,7;3,6;Southern Karelia, Konchezero;RUS;62,22;34,17;;1068;Kazimirov et al., 1977;;80608;1245
87;Pinus sylvestris L.;60;6;;;;15;;Natural;6,9;0,9;0,5;0,4;7,8;1,7;9,5;Southern Karelia, Konchezero;RUS;62,22;34,17;;1068;Kazimirov et al., 1977;;80608;1245
88;Pinus sylvestris L.;60;8;;;;29;;Natural;13,6;1,6;1;0,7;15,3;3,4;18,7;Southern Karelia, Konchezero;RUS;62,22;34,17;;1068;Kazimirov et al., 1977;;80608;1245
89;Pinus sylvestris L.;60;10;;;;49;;Natural;23,5;2,5;1,8;1,2;26,5;5,7;32,2;Southern Karelia, Konchezero;RUS;62,22;34,17;;1068;Kazimirov et al., 1977;;80608;1245
90;Pinus sylvestris L.;60;12;;;;76;;Natural;36,5;3,5;3,2;1,9;41,6;8,8;50,4;Southern Karelia, Konchezero;RUS;62,22;34,17;;1068;Kazimirov et al., 1977;;80608;1245
91;Pinus sylvestris L.;60;14;;;;109;;Natural;51,9;4,9;5;2,8;59,7;13;72,7;Southern Karelia, Konchezero;RUS;62,22;34,17;;1068;Kazimirov et al., 1977;;80608;1245
92;Pinus sylvestris L.;60;16;;;;149;;Natural;71,4;6,4;7,4;3,8;82,6;17;99,6;Southern Karelia, Konchezero;RUS;62,22;34,17;;1068;Kazimirov et al., 1977;;80608;1245
93;Pinus sylvestris L.;60;18;;;;194;;Natural;93;8;10,4;5;108,4;22;130,4;Southern Karelia, Konchezero;RUS;62,22;34,17;;1068;Kazimirov et al., 1977;;80608;1245
94;Pinus sylvestris L.;60;20;;;;246;;Natural;117,7;9,7;14,1;6,4;138,2;28;166,2;Southern Karelia, Konchezero;RUS;62,22;34,17;;1068;Kazimirov et al., 1977;;80608;1245
95;Pinus sylvestris L.;60;22;;;;304;;Natural;146;12;18,7;8;172,7;34;206,7;Southern Karelia, Konchezero;RUS;62,22;34,17;;1068;Kazimirov et al., 1977;;80608;1245
96;Pinus sylvestris L.;60;24;;;;367;;Natural;176;14;23,7;9,6;209,3;41;250,3;Southern Karelia, Konchezero;RUS;62,22;34,17;;1068;Kazimirov et al., 1977;;80608;1245
97;Pinus sylvestris L.;60;26;;;;435;;Natural;209;16;29,6;11,4;250;46;296;Southern Karelia, Konchezero;RUS;62,22;34,17;;1068;Kazimirov et al., 1977;;80608;1245
98;Pinus sylvestris L.;60;28;;;;509;;Natural;244;18;36,3;13,3;293,6;55;348,6;Southern Karelia, Konchezero;RUS;62,22;34,17;;1068;Kazimirov et al., 1977;;80608;1245
99;Pinus sylvestris L.;60;30;;;;589;;Natural;283;20;43,5;15,3;341,8;64;405,8;Southern Karelia, Konchezero;RUS;62,22;34,17;;1068;Kazimirov et al., 1977;;80608;1245
100;Pinus sylvestris L.;60;32;;;;671;;Natural;323;23;51,1;17,4;391,5;72;463,5;Southern Karelia, Konchezero;RUS;62,22;34,17;;1068;Kazimirov et al., 1977;;80608;1245
101;Pinus sylvestris L.;60;34;;;;760;;Natural;364;25;58,7;19,6;442,3;81;523,3;Southern Karelia, Konchezero;RUS;62,22;34,17;;1068;Kazimirov et al., 1977;;80608;1245
102;Pinus sylvestris L.;60;36;;;;856;;Natural;412;28;66,2;21,9;500,1;91;591,1;Southern Karelia, Konchezero;RUS;62,22;34,17;;1068;Kazimirov et al., 1977;;80608;1245
103;Pinus sylvestris L.;60;38;;;;952;;Natural;459;31;74;24,3;557,3;101;658,3;Southern Karelia, Konchezero;RUS;62,22;34,17;;1068;Kazimirov et al., 1977;;80608;1245
104;Pinus sylvestris L.;60;40;;;;1060;;Natural;515;34;81,8;26,8;623,6;111;734,6;Southern Karelia, Konchezero;RUS;62,22;34,17;;1068;Kazimirov et al., 1977;;80608;1245
105;Pinus sylvestris L.;62;4;;;;6;;Natural;2,4;0,4;0,3;0,2;2,9;0,7;3,6;Southern Karelia, Konchezero;RUS;62,22;34,17;;1628;Kazimirov et al., 1977;;80608;1246
106;Pinus sylvestris L.;62;6;;;;14;;Natural;6,8;0,8;0,5;0,4;7,7;1,6;9,3;Southern Karelia, Konchezero;RUS;62,22;34,17;;1628;Kazimirov et al., 1977;;80608;1246
107;Pinus sylvestris L.;62;8;;;;28;;Natural;13,5;1,5;1;0,7;15,2;3,2;18,4;Southern Karelia, Konchezero;RUS;62,22;34,17;;1628;Kazimirov et al., 1977;;80608;1246
108;Pinus sylvestris L.;62;10;;;;48;;Natural;22,4;2,4;1,8;1,2;25,4;5,5;30,9;Southern Karelia, Konchezero;RUS;62,22;34,17;;1628;Kazimirov et al., 1977;;80608;1246
109;Pinus sylvestris L.;62;12;;;;73;;Natural;34,5;3,5;3,3;2;39,8;8,3;48,1;Southern Karelia, Konchezero;RUS;62,22;34,17;;1628;Kazimirov et al., 1977;;80608;1246
110;Pinus sylvestris L.;62;14;;;;107;;Natural;50,8;4,8;5,2;2,9;58,9;12;70,9;Southern Karelia, Konchezero;RUS;62,22;34,17;;1628;Kazimirov et al., 1977;;80608;1246
111;Pinus sylvestris L.;62;16;;;;145;;Natural;69,2;6,2;7,6;3,9;80,7;16;96,7;Southern Karelia, Konchezero;RUS;62,22;34,17;;1628;Kazimirov et al., 1977;;80608;1246
112;Pinus sylvestris L.;62;18;;;;189;;Natural;90,8;7,8;10,6;5,1;106,5;21;127,5;Southern Karelia, Konchezero;RUS;62,22;34,17;;1628;Kazimirov et al., 1977;;80608;1246
113;Pinus sylvestris L.;62;20;;;;240;;Natural;114,5;9,5;14,3;6,5;135,3;27;162,3;Southern Karelia, Konchezero;RUS;62,22;34,17;;1628;Kazimirov et al., 1977;;80608;1246
114;Pinus sylvestris L.;62;22;;;;296;;Natural;141;11;19;8,1;168,1;33;201,1;Southern Karelia, Konchezero;RUS;62,22;34,17;;1628;Kazimirov et al., 1977;;80608;1246
115;Pinus sylvestris L.;62;24;;;;357;;Natural;171;13;24,2;9,8;205;40;245;Southern Karelia, Konchezero;RUS;62,22;34,17;;1628;Kazimirov et al., 1977;;80608;1246
116;Pinus sylvestris L.;62;26;;;;424;;Natural;203;15;30,1;11,6;244,7;47;291,7;Southern Karelia, Konchezero;RUS;62,22;34,17;;1628;Kazimirov et al., 1977;;80608;1246
117;Pinus sylvestris L.;62;28;;;;496;;Natural;237;17;36,9;13,5;287,4;54;341,4;Southern Karelia, Konchezero;RUS;62,22;34,17;;1628;Kazimirov et al., 1977;;80608;1246
118;Pinus sylvestris L.;62;30;;;;574;;Natural;276;20;44,1;15,5;335,6;62;397,6;Southern Karelia, Konchezero;RUS;62,22;34,17;;1628;Kazimirov et al., 1977;;80608;1246
119;Pinus sylvestris L.;62;32;;;;655;;Natural;315;22;51,7;17,6;384,3;70;454,3;Southern Karelia, Konchezero;RUS;62,22;34,17;;1628;Kazimirov et al., 1977;;80608;1246
120;Pinus sylvestris L.;62;34;;;;742;;Natural;357;25;59,3;19,8;436,1;79;515,1;Southern Karelia, Konchezero;RUS;62,22;34,17;;1628;Kazimirov et al., 1977;;80608;1246
121;Pinus sylvestris L.;62;36;;;;834;;Natural;400;28;66,8;22,1;488,9;88;576,9;Southern Karelia, Konchezero;RUS;62,22;34,17;;1628;Kazimirov et al., 1977;;80608;1246
122;Pinus sylvestris L.;62;38;;;;929;;Natural;447;30;74,6;24,5;546,1;98;644,1;Southern Karelia, Konchezero;RUS;62,22;34,17;;1628;Kazimirov et al., 1977;;80608;1246
123;Pinus sylvestris L.;62;40;;;;1033;;Natural;498;33;82,3;27;607,3;108;715,3;Southern Karelia, Konchezero;RUS;62,22;34,17;;1628;Kazimirov et al., 1977;;80608;1246
124;Pinus sylvestris L.;65;4;;;;5;;Natural;2,3;0,3;0,3;0,2;2,8;0,6;3,4;Southern Karelia, Konchezero;RUS;62,22;34,17;;2216;Kazimirov et al., 1977;;80608;7756
125;Pinus sylvestris L.;65;6;;;;13;;Natural;5,8;0,8;0,8;0,6;7,2;1,5;8,7;Southern Karelia, Konchezero;RUS;62,22;34,17;;2216;Kazimirov et al., 1977;;80608;7756
126;Pinus sylvestris L.;65;8;;;;26;;Natural;12,4;1,4;1,4;1;14,8;3;17,8;Southern Karelia, Konchezero;RUS;62,22;34,17;;2216;Kazimirov et al., 1977;;80608;7756
127;Pinus sylvestris L.;65;10;;;;46;;Natural;21,3;2,3;2,4;1,6;25,3;5,1;30,4;Southern Karelia, Konchezero;RUS;62,22;34,17;;2216;Kazimirov et al., 1977;;80608;7756
128;Pinus sylvestris L.;65;12;;;;68;;Natural;32,2;3,2;4;2,4;38,6;7,6;46,2;Southern Karelia, Konchezero;RUS;62,22;34,17;;2216;Kazimirov et al., 1977;;80608;7756
129;Pinus sylvestris L.;65;14;;;;98;;Natural;46,4;4,4;6,1;3,4;55,9;11;66,9;Southern Karelia, Konchezero;RUS;62,22;34,17;;2216;Kazimirov et al., 1977;;80608;7756
130;Pinus sylvestris L.;65;16;;;;133;;Natural;63,7;5,7;8,9;4,6;77,2;15;92,2;Southern Karelia, Konchezero;RUS;62,22;34,17;;2216;Kazimirov et al., 1977;;80608;7756
131;Pinus sylvestris L.;65;18;;;;173;;Natural;83,1;7,1;12,4;6;101,5;20;121,5;Southern Karelia, Konchezero;RUS;62,22;34,17;;2216;Kazimirov et al., 1977;;80608;7756
132;Pinus sylvestris L.;65;20;;;;220;;Natural;105,7;8,7;16,5;7,5;129,7;25;154,7;Southern Karelia, Konchezero;RUS;62,22;34,17;;2216;Kazimirov et al., 1977;;80608;7756
133;Pinus sylvestris L.;65;22;;;;270;;Natural;129;10;21,5;9,2;159,7;31;190,7;Southern Karelia, Konchezero;RUS;62,22;34,17;;2216;Kazimirov et al., 1977;;80608;7756
134;Pinus sylvestris L.;65;24;;;;329;;Natural;157;12;27,4;11,1;195,5;37;232,5;Southern Karelia, Konchezero;RUS;62,22;34,17;;2216;Kazimirov et al., 1977;;80608;7756
135;Pinus sylvestris L.;65;26;;;;391;;Natural;187;14;34,3;13,1;234,4;43;277,4;Southern Karelia, Konchezero;RUS;62,22;34,17;;2216;Kazimirov et al., 1977;;80608;7756
136;Pinus sylvestris L.;65;28;;;;458;;Natural;220;16;41,2;15,1;276,3;50;326,3;Southern Karelia, Konchezero;RUS;62,22;34,17;;2216;Kazimirov et al., 1977;;80608;7756
137;Pinus sylvestris L.;65;30;;;;527;;Natural;253;18;48,8;17,2;319;57;376;Southern Karelia, Konchezero;RUS;62,22;34,17;;2216;Kazimirov et al., 1977;;80608;7756
138;Pinus sylvestris L.;65;32;;;;602;;Natural;289;20;56,8;19,4;365,2;64;429,2;Southern Karelia, Konchezero;RUS;62,22;34,17;;2216;Kazimirov et al., 1977;;80608;7756
