"";"ID";"Tree.species";"Tree.species.code";"Tree.composition";"Structure.of.age";"Origin";"Site.index";"Stand.age";"Height";"DBH";"Tree.number";"Relative.stocking";"Basal.area";"Growing.sto.U.0441.k";"Stem...bark";"Bark";"Wood...bark.of.crown";"Leaves...needles";"Stump...Roots";"Roots.1.mm";"Roots.2.mm";"Roots.5.mm";"Roots.7.mm";"Undergrowth";"Bushes";"Undergrowth...Bushes";"Und...Bushes.with.roots";"Green.forest.floor";"GFF.with.roots";"Snags";"Logs";"Snags...logs";"Dead.branches";"Dead.roots";"Litter";"Country";"Latitude";"Longitude";"ALT_m";"Year";"Number.of.sampled.trees";"LAI..tree.";"Ecoregion";"Reference"
"1";6;"Pinus sylvestris";101;"100-Pi";"even-aged";"Natural";"6";"35";14,3;12,8;2250;0,93;28,8;211;77,6;5,1;13,2;7,6;"17.8";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"RUS";56;92;NA;1988;NA;NA;80444;"Stakanov, 1990"
"2";8;"Pinus sylvestris";101;"100-Pi";"even-aged";"Planted";"7";"12";3,4;3,2;2350;0,218787890842982;2,1;5,2;4,8;0,6;2,1;3,4;"1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"RUS";56;92;NA;1988;"10";NA;80444;"Stakanov, 1990"
"3";9;"Pinus sylvestris";101;"100-Pi";"even-aged";"Planted";"8";"14";4;3,8;2290;0,215457998490321;2,6;7,1;6,2;0,8;2,8;3,9;"1.2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"RUS";56;92;NA;1988;"10";NA;80444;"Stakanov, 1990"
"4";11;"Pinus sylvestris";101;"100-Pi";"even-aged";"Natural";"10";"20";2,9;1,65;71900;2;14,9;54;30,72;8,23;5,13;7;"5";NA;NA;NA;NA;NA;NA;NA;NA;0,52;NA;0,52;NA;NA;1,61;NA;29,3;"KAZ";53;70,2;NA;1973;"5-15";NA;80811;"Atkin, 1978"
"5";12;"Pinus sylvestris";101;"100-Pi";"even-aged";"Natural";"9";"20";3,5;2,5;29700;1,03035406203239;14,7;30;20,37;5,46;3,31;4,7;"6";NA;NA;NA;NA;NA;NA;NA;NA;1,02;NA;0,15;NA;NA;1,12;NA;25,7;"KAZ";53;70,2;NA;1973;"5-15";NA;80811;"Atkin, 1978"
"6";14;"Pinus sylvestris";101;"100-Pi";"even-aged";"Natural";"9";"37";6,5;5,9;8700;1,12655629624587;23,9;80;47,89;9,63;7,25;6,44;"10";NA;NA;NA;NA;NA;NA;NA;NA;0,16;NA;0,32;NA;NA;1,29;NA;20,8;"KAZ";53;70,1;NA;1973;"5-15";NA;80811;"Atkin, 1978"
"7";15;"Pinus sylvestris";101;"100-Pi";"even-aged";"Natural";"9";"37";6,5;6,3;7800;1,19696606476124;24,2;85;50,01;10,05;10,13;7,08;"11";NA;NA;NA;NA;NA;NA;NA;NA;0,39;NA;NA;NA;NA;0,89;NA;21,1;"KAZ";53;70,2;NA;1973;"5-15";NA;80811;"Atkin, 1978"
"8";16;"Pinus sylvestris";101;"100-Pi";"even-aged";"Natural";"9";"37";7,6;7,9;4900;0,847685649738377;22,4;75;47,39;9,53;8,09;6,1;"10";NA;NA;NA;NA;NA;NA;NA;NA;0,15;NA;NA;NA;NA;1,52;NA;23,8;"KAZ";53;70,2;NA;1973;"5-15";NA;80811;"Atkin, 1978"
"9";17;"Pinus sylvestris";101;"100-Pi";"even-aged";"Natural";"11";"65";6,4;4,9;21100;2;40,1;151;85,16;19,5;6,19;5,46;"19";NA;NA;NA;NA;NA;NA;NA;NA;1,58;NA;1,85;NA;NA;0,97;NA;23,8;"KAZ";53;70,2;NA;1973;"5-15";NA;80811;"Atkin, 1978"
"10";19;"Pinus sylvestris";101;"100-Pi";"even-aged";"Natural";"10";"65";8,3;8;8350;1,6394397481475;40,8;165;90,58;20,74;11,55;7,32;"21";NA;NA;NA;NA;NA;NA;NA;NA;3,11;NA;1,23;NA;NA;1,3;NA;29,8;"KAZ";53;70,2;NA;1973;"5-15";NA;80811;"Atkin, 1978"
"11";20;"Pinus sylvestris";101;"100-Pi";"even-aged";"Natural";"10";"65";8,8;8,4;7800;1,54556253135794;43;168;92,25;21,13;14,07;8,3;"22";NA;NA;NA;NA;NA;NA;NA;NA;1,37;NA;NA;NA;NA;1,55;NA;16,7;"KAZ";53;70,2;NA;1973;"5-15";NA;80811;"Atkin, 1978"
"12";21;"Pinus sylvestris";101;"100-Pi";"even-aged";"Natural";"10";"65";8,7;8,8;5050;1,44754016073794;32,9;155;68,25;16,38;9,4;5,52;"20";NA;NA;NA;NA;NA;NA;NA;NA;1,6;NA;NA;NA;NA;1,34;NA;19,7;"KAZ";53;70,2;NA;1973;"5-15";NA;80811;"Atkin, 1978"
"13";23;"Betula pendula, B. pubescens";124;"100-Bi";"even-aged";"Natural";"8";"40";12;13;1356;0,997938820494314;NA;102;61;8,8;4,2;3;"13.2";NA;NA;NA;NA;NA;NA;NA;NA;2,22;NA;NA;NA;NA;NA;NA;10,6;"RUS";53;93;NA;1967;"3-5";NA;80519;"Pozdnyakov et al., 1969"
"14";24;"Populus tremula";125;"97-As,3-Bi";"even-aged";"Natural";"8";"30";9;10;2331;0,91;NA;96;43,5;4,5;5,1;3,8;"9.7";NA;NA;NA;NA;NA;NA;NA;NA;3;NA;NA;NA;NA;NA;NA;12,7;"RUS";53;93;NA;1967;"3-5";NA;80519;"Pozdnyakov et al., 1969"
"15";25;"Pinus sibirica";105;"89-Ps,10-Fi,1-Bi";"even-aged";"Natural";"7";"190";28;46;NA;0,7;NA;494;191,3;21,8;11,2;8,8;"46.8";NA;NA;NA;NA;0,08;0,92;1;NA;1,92;NA;NA;NA;NA;NA;NA;12,9;"RUS";53;93;NA;1967;"3-5";NA;80519;"Pozdnyakov et al., 1969"
"16";26;"Pinus sibirica";105;"96-Ps,3-Fi,1-Bi";"even-aged";"Natural";"7";"240";31;58;NA;0,5;NA;392;157,1;17,3;12,4;10,6;"39.3";NA;NA;NA;NA;0,06;0,94;1;NA;3,24;NA;NA;NA;NA;NA;NA;12,6;"RUS";53;93;NA;1967;"3-5";NA;80519;"Pozdnyakov et al., 1969"
"17";27;"Pinus sibirica";105;"69-Ps,30-Fi,1-Bi";"even-aged";"Natural";"6";"150";27;42;NA;0,5;NA;312;121,1;13,7;8,4;5,5;"27.3";NA;NA;NA;NA;0,1;0,3;0,4;NA;2,9;NA;NA;NA;NA;NA;NA;15;"RUS";53;93;NA;1967;"5-8";NA;80519;"Pozdnyakov et al., 1969"
"18";28;"Abies sibirica";103;"80-Fi,20-Ps";"even-aged";"Natural";"9";"140";20;28;NA;0,84;NA;251;109,8;11,8;11,7;9,6;NA;NA;NA;NA;NA;0,14;0,04;0,18;NA;2,13;NA;NA;NA;NA;NA;NA;16,3;"RUS";52;92;NA;1967;"5-8";NA;80519;"Pozdnyakov et al., 1969"
"19";29;"Pinus sibirica";105;"80-Ps,20-Fi";"even-aged";"Natural";"12";"220";11;26;NA;0,4;NA;55;20,8;2,3;3,6;2,2;"5.2";NA;NA;NA;NA;0,56;0,44;1;NA;5,11;NA;NA;NA;NA;NA;NA;31,2;"RUS";53;93;NA;1967;"5-8";NA;80519;"Pozdnyakov et al., 1969"
"20";30;"Abies sibirica";103;"90-Fi,10-Ps";"even-aged";"Natural";"8";"120";22;33;NA;0,56;NA;198;69,3;11,1;11;5,7;"17.3";NA;NA;NA;NA;0,22;0,08;0,3;NA;2,41;NA;NA;NA;NA;NA;NA;11,6;"RUS";52;92;NA;1967;"3-5";NA;80519;"Pozdnyakov et al., 1969"
"21";31;"Pinus sibirica";105;"50-Ps,40-Sp,10-La";"even-aged";"Natural";"8";"190";23;32;NA;0,4;NA;196;76,5;8,9;10,8;8,9;"19.1";NA;NA;NA;NA;0,4;0,2;0,6;NA;2,97;NA;NA;NA;NA;NA;NA;21,2;"RUS";53;93;NA;1967;"5-8";NA;80519;"Pozdnyakov et al., 1969"
"22";32;"Pinus sibirica";105;"60-Ps,40-+Fi";"even-aged";"Natural";"10";"120";14;28;NA;0,5;NA;129;41,2;5,9;8,6;5,9;"12.4";NA;NA;NA;NA;0,35;0,65;1;NA;4,46;NA;NA;NA;NA;NA;NA;24,4;"RUS";53;93;NA;1967;"5-8";NA;80519;"Pozdnyakov et al., 1969"
"23";33;"Pinus sibirica";105;"28-Ps,29-Fi,10-Sp,3-Bi";"even-aged";"Natural";"9";"220";23;41;NA;0,4;NA;195;68,8;8,2;9,1;7;"17.2";NA;NA;NA;NA;0,3;0,1;0,4;NA;3,95;NA;NA;NA;NA;NA;NA;24,1;"RUS";53;93;NA;1967;"3-5";NA;80519;"Pozdnyakov et al., 1969"
"24";34;"Betula pendula, Pinus sibirica";124;"40-Bi,30-Pi,20-As,10-La";"even-aged";"Natural";"8";"40";12;13;664;0,528320552026402;NA;54;23,5;3,2;4,9;3,7;"5.9";NA;NA;NA;NA;0,29;0,11;0,4;NA;3,71;NA;NA;NA;NA;NA;NA;16,5;"RUS";53;93;NA;1967;"5-8";NA;80519;"Pozdnyakov et al., 1969; Protopopov, 1971"
"25";35;"Pinus sibirica";105;"80-Ps,10-Sp,10-Fi";"even-aged";"Natural";"8";"200";24;24;NA;0,5;NA;321;124,6;14;12,9;8,8;"31.1";NA;NA;NA;NA;0,33;0,17;0,5;NA;3,2;NA;NA;NA;NA;NA;NA;12,8;"RUS";53;93;NA;1967;"3-5";NA;80519;"Pozdnyakov et al., 1969"
"26";37;"Larix sibirica";104;"97-La,3-Bi";"even-aged";"Natural";"9";"180";20;30;379;0,77;NA;244;137;21,4;9,8;2,3;"38";NA;NA;NA;NA;0,32;0,28;0,6;NA;3,5;NA;NA;NA;NA;NA;NA;25,5;"RUS";52;95,3;NA;1967;"3-5";NA;80815;"Pozdnyakov et al., 1969"
"27";38;"Larix sibirica";104;"90-La,10-Bi";"even-aged";"Natural";"9";"40";9;6;7188;0,98;NA;98;65,2;8,2;5,4;2,2;"19.9";NA;NA;NA;NA;0,09;0,31;0,4;NA;2,44;NA;NA;NA;NA;NA;NA;7,7;"RUS";52;95,3;NA;1967;"3-5";NA;80815;"Pozdnyakov et al., 1969"
"28";39;"Larix sibirica";104;"80-La,20-Bi";"even-aged";"Natural";"9";"80";15;13;1340;0,6;NA;126;81,7;10,9;8,3;3;"26.6";NA;NA;NA;NA;0,23;0,27;0,5;NA;4,01;NA;NA;NA;NA;NA;NA;8,8;"RUS";52;95,3;NA;1967;"3-5";NA;80815;"Pozdnyakov et al., 1969"
"29";40;"Larix sibirica";104;"70-La,20-Bi,10-Sp";"even-aged";"Natural";"8";"170";24;21;379;0,66;NA;278;157,9;21,9;7,5;4,8;"35.5";NA;NA;NA;NA;0,28;0,12;0,4;NA;2,17;NA;NA;NA;NA;NA;NA;10,4;"RUS";52;95,3;NA;1967;"5-8";NA;80815;"Pozdnyakov et al., 1969"
"30";42;"Abies sibirica";103;"79-Fi,20-Sp,1-Ps";NA;"Natural";"8";"58";13;NA;1525;1,03;26,3;180;49,24;9,44;7,91;7,7;"10.16";NA;NA;NA;NA;0,14;0,37;0,51;NA;0,85;NA;7,86;NA;NA;1,6;NA;6,9;"RUS";59;93;NA;1977;"3-5";NA;80601;"Kuzikov, 1979a,b"
"31";43;"Abies sibirica";103;"98-Fi,1-Sp,1-Bi";NA;NA;"8";"88";NA;NA;NA;0,76;26,2;262;82,19;11,08;13,59;9,85;"19.78";NA;NA;NA;NA;0,46;0,53;0,99;NA;1,6;NA;10,51;NA;NA;2,5;NA;11,54;"RUS";59;93;NA;1977;"3-5";NA;80601;"Kuzikov, 1979a,b"
"32";45;"Abies sibirica";103;"88-Fi,10-Ps,1-Sp,1-Bi";NA;"Natural";"8";"96";20,9;25,5;406;0,68;24,8;233;77,73;9,43;13,36;7,9;"19.97";NA;NA;NA;NA;0,32;NA;NA;NA;1,9;NA;7,1;NA;NA;2,52;NA;17,5;"RUS";59;93;NA;1977;"3-5";NA;80601;"Kuzikov, 1979a,b"
"33";46;"Abies sibirica";103;"90-Fi,10-Ps";NA;"Natural";"8";"116";23,7;27,9;419;0,78;28,7;325;105,69;11,27;18,74;9,33;"23.86";NA;NA;NA;NA;0,5;0,26;0,76;NA;2,69;NA;8,6;NA;NA;3,59;NA;20,34;"RUS";59;93;NA;1977;"3-5";NA;80601;"Kuzikov, 1979a,b"
"34";47;"Abies sibirica";103;"99-Fi,1-Ps";NA;"Natural";"8";"52";13,4;14,6;1514;0,78;19,6;176;61,6;9,8;6,1;7,8;NA;NA;NA;NA;NA;0,34;0,02;0,36;NA;0,98;NA;NA;NA;NA;2,01;NA;NA;"RUS";54;95;NA;1970;"3-5";NA;80601;"Kuzikov, 1979a,b"
"35";48;"Abies sibirica";103;"99-Fi,1-Ps";NA;"Natural";"5";"70";26;20,3;580;0,55;21;215;77,4;12;12,25;9,31;NA;NA;NA;NA;NA;0,21;0,09;0,3;NA;1,82;NA;NA;NA;NA;1,72;NA;NA;"RUS";54;95;NA;1970;"3-5";NA;80601;"Kuzikov, 1979a,b"
"36";49;"Abies sibirica";103;"67-Fi,30-Ps,3-Pi";NA;"Natural";"8";"94";21,8;21,4;705;0,7;24,6;268;93,8;14,9;11,9;11,96;NA;NA;NA;NA;NA;0,29;0,08;0,37;NA;2,11;NA;NA;NA;NA;1,68;NA;NA;"RUS";54;95;NA;1970;"3-5";NA;80601;"Kuzikov, 1979a,b"
"37";50;"Abies sibirica";103;"99-Fi,1-Ps";NA;"Natural";"8";"101";21,2;27,2;414;0,79;27;375;131,2;21;16,07;11,86;NA;NA;NA;NA;NA;0,26;0,13;0,39;NA;2,36;NA;NA;NA;NA;3,62;NA;NA;"RUS";54;95;NA;1970;"3-5";NA;80601;"Kuzikov, 1979a,b"
"38";51;"Abies sibirica";103;"99-Fi,1-Bi";NA;"Natural";"8";"41";NA;NA;NA;0,97;13,5;75;26,82;5,67;4,9;4,66;"7.46";NA;NA;NA;NA;0,21;0,03;0,24;NA;0,21;NA;3,73;NA;NA;0,73;NA;8,32;"RUS";54;95;NA;1977;"3-5";NA;80601;"Kuzikov, 1979a,b"
"39";52;"Abies sibirica";103;"99-Fi,1-Bi";NA;"Natural";"8";"55";NA;NA;NA;0,84;21;152;45,39;8,67;7,45;6,65;"9.65";NA;NA;NA;NA;0,42;NA;NA;NA;1,56;NA;7,48;NA;NA;1,92;NA;9,08;"RUS";54;95;NA;1977;"3-5";NA;80601;"Kuzikov, 1979a,b"
"40";53;"Abies sibirica";103;"100-Fi";NA;NA;"8";"86";NA;NA;NA;0,77;25,4;235;78,19;11,47;12,98;9,22;"20.53";NA;NA;NA;NA;0,4;0,61;1,01;NA;1,6;NA;10,16;NA;NA;1,64;NA;14,2;"RUS";54;95;NA;1977;"3-5";NA;80601;"Kuzikov, 1979a,b"
"41";54;"Abies sibirica";103;"96-Fi,3-Sp,1-Ps";NA;"Natural";"8";"89";NA;NA;NA;0,86;27,2;246;80,1;10,08;10,83;8,47;"21.34";NA;NA;NA;NA;0,18;0,07;0,25;NA;0,74;NA;8,05;NA;NA;1,69;NA;16,51;"RUS";54;95;NA;1977;"3-5";NA;80601;"Kuzikov, 1979a,b"
"42";55;"Abies sibirica";103;"79-Fi,20-Ps,1-Sp";NA;"Natural";"8";"92";NA;NA;NA;0,82;28,8;339;96,57;11,5;15,33;10,63;"25.78";NA;NA;NA;NA;0,15;0,39;0,54;NA;2,03;NA;11,36;NA;NA;2,82;NA;19,54;"RUS";54;95;NA;1977;"3-5";NA;80601;"Kuzikov, 1979a,b"
"43";56;"Abies sibirica";103;"90-Fi,10-Ps";NA;"Natural";"10";"57";7,5;7,6;2168;0,87;17,87;80;32,2;7,13;5,13;4,73;"8.53";NA;NA;NA;NA;0,38;NA;NA;NA;0,49;NA;5,68;NA;NA;0,68;NA;11,76;"RUS";62;87;NA;1977;"3-5";NA;80611;"Kuzikov, 1979a,b"
"44";57;"Abies sibirica";103;"97-Fi,3-Bi";NA;"Natural";"9";"71";15,1;16,2;893;0,64;17,85;160;51,23;8,12;7,03;6,85;"10.67";NA;NA;NA;NA;0,68;0,39;1,07;NA;2,41;NA;8,1;NA;NA;2,55;NA;13,61;"RUS";62;87;NA;1977;"3-5";NA;80611;"Kuzikov, 1979a,b"
"45";58;"Abies sibirica";103;"78-Fi,20-Sp,1-Bi,1-Ps";NA;"Natural";"9";"74";14;14,4;1210;0,7;19,1;147;40,83;5,54;8,62;6;"10.61";NA;NA;NA;NA;0,37;NA;NA;NA;3,16;NA;6,08;NA;NA;2,14;NA;15,97;"RUS";62;87;NA;1977;"3-5";NA;80611;"Kuzikov, 1979a,b"
"46";59;"Abies sibirica";103;"99-Fi,1-Sp";NA;"Natural";"9";"100";19,5;20,8;707;0,79;25,9;256;85,36;12,4;11,97;9,48;"19.72";NA;NA;NA;NA;0,09;0,32;0,41;NA;2,48;NA;11,03;NA;NA;3,81;NA;21,44;"RUS";62;87;NA;1977;"3-5";NA;80611;"Kuzikov, 1979a,b"
"47";60;"Abies sibirica";103;"79-Fi,20-Ps,1-Sp";NA;"Natural";"8";"95";19,3;22,2;542;0,63;20;219;59,35;8,54;11,98;6,44;"13.72";NA;NA;NA;NA;0,57;NA;NA;NA;3,23;NA;5,64;NA;NA;1,93;NA;15,13;"RUS";62;87;NA;1977;"3-5";NA;80611;"Kuzikov, 1979a,b"
"48";61;"Abies sibirica";103;"89-Fi,10-Ps,1-Sp";NA;"Natural";"9";"105";20,2;22,3;620;0,84;27,8;244;77,19;10,65;14,25;8,61;"16.35";NA;NA;NA;NA;0,22;NA;NA;NA;1,44;NA;10,01;NA;NA;3,16;NA;18,39;"RUS";62;87;NA;1977;"3-5";NA;80611;"Kuzikov, 1979a,b"
"49";62;"Abies sibirica";103;"99-Fi,1-Sp";NA;"Natural";"9";"122";21,2;23,4;470;0,85;29,06;299;97,32;11,28;17,92;10,11;"23.98";NA;NA;NA;NA;0,77;0,17;0,94;NA;2,2;NA;8;NA;NA;3,39;NA;13,19;"RUS";62;87;NA;1977;"3-5";NA;80611;"Kuzikov, 1979a,b"
"50";63;"Abies sibirica";103;"89-Fi,10-Sp,1-Bi";NA;"Natural";"10";"54";6,2;7,8;2394;0,69;14,01;69;21,86;4,21;3,91;3,61;"3.72";NA;NA;NA;NA;0,11;NA;NA;NA;0,85;NA;4,7;NA;NA;0,74;NA;11,59;"RUS";62;87;NA;1977;"3-5";NA;80611;"Kuzikov, 1979a,b"
"51";64;"Abies sibirica";103;"80-Fi,10-Sp,10-Bi";NA;"Natural";"9";"69";14,2;15,5;1181;0,9;28,4;197,8;61,08;10,42;7,83;6,31;"16.37";NA;NA;NA;NA;0,39;0,28;0,67;NA;1,13;NA;8,05;NA;NA;1,64;NA;13,83;"RUS";62;87;NA;1977;"3-5";NA;80611;"Kuzikov, 1979a,b"
"52";65;"Abies sibirica";103;"79-Fi,10-Sp,1-Bi";NA;"Natural";"9";"80";15,1;16,2;881;0,68;18,9;153;46,64;5,23;7,02;5,12;"10.35";NA;NA;NA;NA;0,47;0,34;0,81;NA;2,11;NA;10,15;NA;NA;1,72;NA;14,82;"RUS";62;87;NA;1977;"3-5";NA;80611;"Kuzikov, 1979a,b"
"53";66;"Abies sibirica";103;"87-Fi,10-Bi,3-Sp";NA;NA;"8";"111";NA;NA;569;0,74;25,95;270;80,75;10,88;13,04;8,28;"21.48";NA;NA;NA;NA;1,36;0,37;1,73;NA;2,48;NA;10,45;NA;NA;3,42;NA;18,42;"RUS";62;87;NA;1977;"3-5";NA;80611;"Kuzikov, 1979a,b"
"54";69;"Abies sibirica";103;"89-Fi,10-Sp,1-Bi";NA;"Natural";"8";"86";17;21,4;849;0,81;22,2;156;51,1;5,8;9,82;6,81;NA;NA;NA;NA;NA;0,14;0,09;0,23;NA;1,35;NA;NA;NA;NA;2,5;NA;NA;"RUS";62;87;NA;1977;"3-5";NA;80611;"Kuzikov, 1979a,b"
"55";71;"Abies sibirica";103;"79-Fi,20-Sp,1-Bi";NA;"Natural";"9";"79";14,3;16,8;836;0,5;15,7;193;54,4;5,95;7,92;7,08;NA;NA;NA;NA;NA;0,83;0,1;0,93;NA;0,72;NA;NA;NA;NA;1,9;NA;NA;"RUS";61;88;NA;1977;"3-5";NA;80611;"Kuzikov, 1979a,b"
"56";72;"Abies sibirica";103;"69-Fi,30-Sp,1-Bi";NA;NA;"9";"93";NA;20,9;868;0,77;22,6;218;69,54;8,04;10,38;8;NA;NA;NA;NA;NA;0,37;0,15;0,52;NA;1;NA;NA;NA;NA;3;NA;NA;"RUS";61;88;NA;1977;"3-5";NA;80611;"Kuzikov, 1979a,b"
"57";73;"Abies sibirica";103;"79-Fi,10-Sp,10-Ps,1-Bi";NA;"Natural";"9";"124";18;22,3;671;0,82;24,9;230;84,7;10,6;11,77;7,37;NA;NA;NA;NA;NA;0,31;0,22;0,53;NA;1,34;NA;NA;NA;NA;3,5;NA;NA;"RUS";61;88;NA;1977;"3-5";NA;80611;"Kuzikov, 1979a,b"
"58";74;"Abies sibirica";103;"89-Fi,10-Sp,1-Ps";NA;"Natural";"9";"146";20,1;4,8;472;0,61;20,4;256;90,7;11,2;16,22;9,05;NA;NA;NA;NA;NA;0,94;0,76;1,7;NA;3,36;NA;NA;NA;NA;6;NA;NA;"RUS";61;88;NA;1977;"3-5";NA;80611;"Kuzikov, 1979a,b"
"59";76;"Abies sibirica";103;"99-Fi,1-Ps";NA;NA;"10";"36";6,5;4,2;NA;1,24;NA;93;26,3;2,9;5,06;6,6;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,28;NA;NA;NA;NA;1,63;NA;NA;"RUS";53;96;NA;1970;NA;NA;80519;"Kuzikov, 1979a,b"
"60";78;"Abies sibirica";103;"Fi";NA;NA;"8";"40";11;13,1;1140;0,66;15,4;88;44,16;4,96;5,22;8,45;NA;NA;NA;NA;NA;NA;NA;0,16;NA;0,06;NA;NA;NA;NA;NA;NA;7,3;"RUS";52;88;NA;1986;NA;NA;80519;"Kuzikov, Gribov, 1988"
"61";79;"Abies sibirica";103;"Fi";NA;NA;"8";"50";14,3;16,6;785;0,63;17;122;NA;7,65;7,76;8,47;NA;NA;NA;NA;NA;NA;NA;0,34;NA;0,34;NA;NA;NA;NA;NA;NA;9,42;"RUS";52;88;NA;1986;NA;NA;80519;"Kuzikov, Gribov, 1988"
"62";80;"Abies sibirica";103;"Fi";NA;NA;"8";"60";16;19;620;0,61;17,6;140;NA;8,01;9,1;8,57;NA;NA;NA;NA;NA;NA;NA;0,56;NA;0,64;NA;NA;NA;NA;NA;NA;11,34;"RUS";52;88;NA;1986;NA;NA;80519;"Kuzikov, Gribov, 1988"
"63";81;"Abies sibirica";103;"Fi";NA;NA;"8";"70";17,3;20,5;550;0,61;18,2;155;81,21;9;10,36;8,65;NA;NA;NA;NA;NA;NA;NA;73;NA;1,06;NA;NA;NA;NA;NA;NA;12,97;"RUS";52;88;NA;1986;NA;NA;80519;"Kuzikov, Gribov, 1988"
"64";82;"Abies sibirica";103;"Fi";NA;NA;"8";"80";18,1;21,6;500;0,59;18,4;163;NA;11,34;10,29;8,78;NA;NA;NA;NA;NA;NA;NA;0,86;NA;1,32;NA;NA;NA;NA;NA;NA;14,3;"RUS";52;88;NA;1986;NA;NA;80519;"Kuzikov, Gribov, 1988"
"65";83;"Abies sibirica";103;"Fi";NA;NA;"8";"90";18,9;22,7;455;0,58;18,5;170;89,66;12,7;11,73;9,24;NA;NA;NA;NA;NA;NA;NA;1,04;NA;1,6;NA;NA;NA;NA;NA;NA;15,4;"RUS";52;88;NA;1986;NA;NA;80519;"Kuzikov, Gribov, 1988"
"66";85;"Abies sibirica";103;"Fi";NA;NA;"8";"40";12;12;1505;0,69;17;100;44,89;5;5,31;7,25;NA;NA;NA;NA;NA;NA;NA;0,36;NA;0,08;NA;NA;NA;NA;NA;NA;6;"RUS";53;96;NA;1986;NA;NA;80519;"Kuzikov, Gribov, 1988"
"67";86;"Abies sibirica";103;"Fi";NA;NA;"7";"50";15,5;16;975;0,68;19,6;149;59,98;7,1;7,37;8,5;NA;NA;NA;NA;NA;NA;NA;0,43;NA;0,2;NA;NA;NA;NA;NA;NA;8,22;"RUS";53;96;NA;1986;NA;NA;80519;"Kuzikov, Gribov, 1988"
"68";87;"Abies sibirica";103;"Fi";NA;NA;"7";"60";17,9;18,4;810;0,69;21,5;185;71,62;8,62;9,22;9,22;NA;NA;NA;NA;NA;NA;NA;0,49;NA;0,91;NA;NA;NA;NA;NA;NA;10,48;"RUS";53;96;NA;1986;NA;NA;80519;"Kuzikov, Gribov, 1988"
"69";88;"Abies sibirica";103;"Fi";NA;NA;"7";"70";19,5;20,8;675;0,69;22,9;215;80,3;10;11,11;9,6;NA;NA;NA;NA;NA;NA;NA;0,56;NA;1,2;NA;NA;NA;NA;NA;NA;12,9;"RUS";53;96;NA;1986;NA;NA;80519;"Kuzikov, Gribov, 1988"
"70";89;"Abies sibirica";103;"Fi";NA;NA;"7";"80";20,7;23;570;0,7;23,7;235;86,48;11,11;12,62;9,68;NA;NA;NA;NA;NA;NA;NA;0,63;NA;1,4;NA;NA;NA;NA;NA;NA;14,73;"RUS";53;96;NA;1986;NA;NA;80519;"Kuzikov, Gribov, 1988"
"71";90;"Abies sibirica";103;"Fi";NA;NA;"8";"90";21,6;24,5;515;0,69;24,2;250;91;12,2;13,93;9,63;NA;NA;NA;NA;NA;NA;NA;0,68;NA;1,77;NA;NA;NA;NA;NA;NA;15,8;"RUS";53;96;NA;1986;NA;NA;80519;"Kuzikov, Gribov, 1988"
"72";91;"Abies sibirica";103;"Fi";NA;NA;"8";"100";22,2;26;460;0,7;24,5;260;94,15;13,3;14,96;9,59;NA;NA;NA;NA;NA;NA;NA;0,74;NA;1,96;NA;NA;NA;NA;NA;NA;16,7;"RUS";53;96;NA;1986;NA;NA;80519;"Kuzikov, Gribov, 1988"
"73";92;"Abies sibirica";103;"Fi";NA;NA;"8";"110";23;27;440;0,72;25,1;268;98,76;14,2;16,31;9,53;NA;NA;NA;NA;NA;NA;NA;0,81;NA;2,1;NA;NA;NA;NA;NA;NA;17,2;"RUS";53;96;NA;1986;NA;NA;80519;"Kuzikov, Gribov, 1988"
"74";93;"Abies sibirica";103;"Fi";NA;NA;"8";"120";23,5;28;410;0,71;25,4;275;101,64;14,4;17,34;9,42;NA;NA;NA;NA;NA;NA;NA;0,87;NA;2,18;NA;NA;NA;NA;NA;NA;17,2;"RUS";53;96;NA;1986;NA;NA;80519;"Kuzikov, Gribov, 1988"
"75";94;"Abies sibirica";103;"Fi";NA;NA;"8";"130";24;29;390;0,72;25,8;279;104,84;14,86;18,38;9,38;NA;NA;NA;NA;NA;NA;NA;0,93;NA;2,25;NA;NA;NA;NA;NA;NA;16,9;"RUS";53;96;NA;1986;NA;NA;80519;"Kuzikov, Gribov, 1988"
"76";95;"Abies sibirica";103;"Fi";NA;NA;"8";"140";24,3;29,6;380;0,73;26,1;283;107,08;15,2;19,31;9,28;NA;NA;NA;NA;NA;NA;NA;1;NA;2,45;NA;NA;NA;NA;NA;NA;16,75;"RUS";53;96;NA;1986;NA;NA;80519;"Kuzikov, Gribov, 1988"
"77";96;"Abies sibirica";103;"Fi";NA;NA;"8";"150";24,6;30;370;0,71;26,3;286;109,16;15,45;20,16;9,16;NA;NA;NA;NA;NA;NA;NA;1,07;NA;2,64;NA;NA;NA;NA;NA;NA;16,48;"RUS";53;96;NA;1986;NA;NA;80519;"Kuzikov, Gribov, 1988"
